Date and Time	Input Voltage(V)	Output Voltage(V)	Input Frequency(Hz)	Output Frequency(Hz)	Load Capacity(%)	Internal Temperature(℃)	Backup Time(Min)	Battery Voltage(V)	Battery Capacity(%)
﻿2021-02-13 18:19:54.156	94.1	95.0	49.9	49.9	15	35.4	109	53.8	100
﻿2021-02-13 18:20:00.149	94.2	94.9	49.9	49.9	15	35.7	109	53.8	100
﻿2021-02-13 18:20:05.154	94.2	94.9	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:20:11.150	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:20:16.157	94.0	95.0	49.9	49.9	15	35.4	110	53.8	100
﻿2021-02-13 18:20:21.164	94.1	95.0	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:20:26.171	94.1	95.0	49.9	49.9	15	35.7	108	53.8	100
﻿2021-02-13 18:20:31.178	94.1	95.0	50.0	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:20:37.172	94.1	95.0	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:20:43.165	94.1	95.0	50.0	50.0	16	35.7	103	53.8	100
﻿2021-02-13 18:20:48.172	94.1	95.0	50.0	50.0	16	35.7	103	53.8	100
﻿2021-02-13 18:20:53.180	94.1	95.0	50.0	50.0	15	35.7	108	53.8	100
﻿2021-02-13 18:20:58.185	94.1	95.0	50.0	50.0	15	35.7	108	53.8	100
﻿2021-02-13 18:21:03.193	94.1	94.9	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:21:09.186	94.1	94.9	50.0	50.0	15	35.7	110	53.8	100
﻿2021-02-13 18:21:14.194	94.3	95.0	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:21:20.187	94.3	95.0	50.0	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:21:26.183	94.1	95.0	49.9	50.0	15	35.7	109	53.8	100
﻿2021-02-13 18:21:31.191	94.1	95.0	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:21:37.185	94.4	95.2	49.9	49.9	15	35.7	110	53.8	100
﻿2021-02-13 18:21:42.194	94.4	95.2	49.9	49.9	15	35.7	109	53.8	100
